Sample#, X-Step size = 11.0000, Y-Step size = 11.0000 ; 
#244, -21, -29 ; 
#245, -20, -31 ; 
#246, -19, -32 ; 
#247, -17, -32 ; 
#248, -14, -34 ; 
#249, -13, -33 ; 
#250, -12, -32 ; 
#251, -11, -30 ; 
#252, -11, -29 ; 
#253, -12, -28 ; 
#254, -11, -27 ; 
#255, -10, -27 ; 
#256, -10, -26 ; 
#257, -11, -24 ; 
#258, -9, -22 ; 
#259, -7, -21 ; 
#260, -5, -19 ; 
#261, -2, -18 ; 
#262, 1, -16 ; 
#263, 3, -14 ; 
#264, 4, -12 ; 
#265, 4, -12 ; 
#266, 5, -13 ; 
#267, 5, -14 ; 
#268, 3, -16 ; 
#269, 2, -17 ; 
#270, -1, -19 ; 
#271, -3, -20 ; 
#272, -5, -22 ; 
#273, -6, -23 ; 
#274, -6, -23 ; 
#275, -6, -24 ; 
#276, -5, -23 ; 
#277, -3, -23 ; 
#278, -2, -22 ; 
#279, -2, -20 ; 
#280, -1, -20 ; 
#281, -1, -21 ; 
#282, -1, -23 ; 
#283, -3, -25 ; 
#284, -5, -25 ; 
#285, -7, -25 ; 
#286, -8, -26 ; 
#287, -9, -27 ; 
#288, -10, -30 ; 
#289, -11, -31 ; 
#290, -13, -30 ; 
#291, -14, -30 ; 
#292, -16, -30 ; 
#293, -17, -31 ; 
#294, -19, -32 ; 
#295, -21, -33 ; 
#296, -23, -34 ; 
#297, -23, -33 ; 
#298, -23, -32 ; 
#299, -22, -31 ; 
#300, -19, -29 ; 
#301, -16, -29 ; 
#302, -14, -29 ; 
#303, -10, -31 ; 
#304, -8, -33 ; 
#305, -4, -34 ; 
#306, -1, -38 ; 
#307, 2, -41 ; 
#308, 5, -43 ; 
#309, 7, -44 ; 
#310, 10, -44 ; 
#311, 13, -41 ; 
#312, 14, -37 ; 
#313, 16, -34 ; 
#314, 18, -30 ; 
#315, 18, -24 ; 
#316, 18, -20 ; 
#317, 16, -17 ; 
#318, 15, -16 ; 
#319, 14, -15 ; 
#320, 14, -15 ; 
#321, 15, -17 ; 
#322, 15, -18 ; 
#323, 16, -19 ; 
#324, 17, -21 ; 
#325, 19, -23 ; 
#326, 20, -25 ; 
#327, 20, -25 ; 
#328, 20, -26 ; 
#329, 19, -25 ; 
#330, 16, -22 ; 
#331, 14, -20 ; 
#332, 11, -20 ; 
#333, 8, -19 ; 
#334, 6, -19 ; 
#335, 6, -20 ; 
#336, 6, -20 ; 
#337, 7, -20 ; 
#338, 8, -22 ; 
#339, 11, -25 ; 
#340, 14, -28 ; 
#341, 16, -30 ; 
#342, 18, -31 ; 
#343, 18, -30 ; 
#344, 19, -28 ; 
#345, 23, -26 ; 
#346, 34, -25 ; 
#347, 55, -23 ; 
#348, 91, -21 ; 
#349, 148, -19 ; 
#350, 229, -18 ; 
#351, 330, -18 ; 
#352, 447, -22 ; 
#353, 572, -25 ; 
#354, 697, -29 ; 
#355, 811, -32 ; 
#356, 903, -34 ; 
#357, 966, -37 ; 
#358, 986, -39 ; 
#359, 961, -39 ; 
#360, 899, -38 ; 
#361, 807, -35 ; 
#362, 700, -32 ; 
#363, 596, -31 ; 
#364, 504, -30 ; 
#365, 439, -28 ; 
#366, 407, -27 ; 
#367, 415, -27 ; 
#368, 460, -29 ; 
#369, 536, -30 ; 
#370, 633, -32 ; 
#371, 732, -34 ; 
#372, 819, -33 ; 
#373, 886, -32 ; 
#374, 920, -32 ; 
#375, 914, -31 ; 
#376, 871, -29 ; 
#377, 797, -26 ; 
#378, 700, -24 ; 
#379, 596, -21 ; 
#380, 502, -18 ; 
#381, 431, -17 ; 
#382, 390, -18 ; 
#383, 385, -19 ; 
#384, 417, -21 ; 
#385, 479, -23 ; 
#386, 565, -25 ; 
#387, 664, -28 ; 
#388, 756, -33 ; 
#389, 830, -36 ; 
#390, 874, -39 ; 
#391, 880, -40 ; 
#392, 850, -40 ; 
#393, 787, -39 ; 
#394, 703, -38 ; 
#395, 607, -38 ; 
#396, 514, -36 ; 
#397, 437, -34 ; 
#398, 388, -32 ; 
#399, 372, -31 ; 
#400, 387, -31 ; 
#401, 435, -32 ; 
#402, 506, -32 ; 
#403, 590, -30 ; 
#404, 672, -27 ; 
#405, 741, -24 ; 
#406, 788, -21 ; 
#407, 801, -18 ; 
#408, 780, -14 ; 
#409, 730, -10 ; 
#410, 654, -7 ; 
#411, 568, -5 ; 
#412, 480, -5 ; 
#413, 407, -6 ; 
#414, 356, -9 ; 
#415, 334, -10 ; 
#416, 344, -11 ; 
#417, 387, -13 ; 
#418, 455, -14 ; 
#419, 537, -15 ; 
#420, 620, -15 ; 
#421, 695, -14 ; 
#422, 751, -12 ; 
#423, 778, -11 ; 
#424, 769, -13 ; 
#425, 729, -17 ; 
#426, 662, -18 ; 
#427, 577, -20 ; 
#428, 489, -22 ; 
#429, 409, -26 ; 
#430, 346, -28 ; 
#431, 311, -29 ; 
#432, 307, -30 ; 
#433, 334, -28 ; 
#434, 388, -25 ; 
#435, 460, -23 ; 
#436, 544, -19 ; 
#437, 622, -16 ; 
#438, 686, -12 ; 
#439, 725, -9 ; 
#440, 732, -7 ; 
#441, 709, -3 ; 
#442, 657, 1 ; 
#443, 586, 3 ; 
#444, 507, 5 ; 
#445, 428, 7 ; 
#446, 362, 10 ; 
#447, 319, 14 ; 
#448, 302, 26 ; 
#449, 316, 49 ; 
#450, 357, 87 ; 
#451, 419, 143 ; 
#452, 493, 220 ; 
#453, 566, 309 ; 
#454, 629, 407 ; 
#455, 674, 509 ; 
#456, 692, 610 ; 
#457, 682, 699 ; 
#458, 643, 764 ; 
#459, 579, 799 ; 
#460, 502, 797 ; 
#461, 423, 758 ; 
#462, 354, 694 ; 
#463, 301, 616 ; 
#464, 270, 535 ; 
#465, 264, 465 ; 
#466, 282, 414 ; 
#467, 323, 394 ; 
#468, 382, 406 ; 
#469, 445, 452 ; 
#470, 504, 522 ; 
#471, 551, 607 ; 
#472, 577, 696 ; 
#473, 580, 776 ; 
#474, 558, 829 ; 
#475, 515, 850 ; 
#476, 457, 833 ; 
#477, 393, 781 ; 
#478, 334, 702 ; 
#479, 286, 614 ; 
#480, 254, 522 ; 
#481, 243, 442 ; 
#482, 252, 384 ; 
#483, 278, 360 ; 
#484, 320, 373 ; 
#485, 370, 417 ; 
#486, 418, 488 ; 
#487, 456, 573 ; 
#488, 479, 661 ; 
#489, 481, 741 ; 
#490, 463, 801 ; 
#491, 426, 829 ; 
#492, 383, 820 ; 
#493, 332, 777 ; 
#494, 280, 708 ; 
#495, 238, 625 ; 
#496, 213, 543 ; 
#497, 205, 470 ; 
#498, 219, 417 ; 
#499, 253, 393 ; 
#500, 305, 403 ; 
#501, 363, 444 ; 
#502, 421, 508 ; 
#503, 477, 585 ; 
#504, 517, 668 ; 
#505, 537, 738 ; 
#506, 536, 788 ; 
#507, 511, 808 ; 
#508, 467, 794 ; 
#509, 410, 746 ; 
#510, 349, 676 ; 
#511, 295, 594 ; 
#512, 249, 515 ; 
#513, 221, 445 ; 
#514, 215, 398 ; 
#515, 229, 382 ; 
#516, 264, 398 ; 
#517, 312, 441 ; 
#518, 367, 506 ; 
#519, 419, 582 ; 
#520, 460, 659 ; 
#521, 487, 725 ; 
#522, 493, 770 ; 
#523, 478, 784 ; 
#524, 442, 763 ; 
#525, 391, 710 ; 
#526, 335, 636 ; 
#527, 283, 555 ; 
#528, 243, 476 ; 
#529, 220, 408 ; 
#530, 215, 362 ; 
#531, 235, 341 ; 
#532, 275, 350 ; 
#533, 333, 388 ; 
#534, 399, 447 ; 
#535, 464, 516 ; 
#536, 516, 585 ; 
#537, 552, 641 ; 
#538, 567, 678 ; 
#539, 559, 688 ; 
#540, 525, 670 ; 
#541, 473, 623 ; 
#542, 410, 555 ; 
#543, 346, 480 ; 
#544, 291, 408 ; 
#545, 255, 349 ; 
#546, 240, 310 ; 
#547, 247, 296 ; 
#548, 276, 310 ; 
#549, 329, 345 ; 
#550, 394, 400 ; 
#551, 461, 466 ; 
#552, 523, 530 ; 
#553, 571, 583 ; 
#554, 597, 617 ; 
#555, 596, 624 ; 
#556, 572, 605 ; 
#557, 525, 562 ; 
#558, 461, 502 ; 
#559, 393, 435 ; 
#560, 332, 371 ; 
#561, 286, 317 ; 
#562, 262, 278 ; 
#563, 264, 262 ; 
#564, 292, 271 ; 
#565, 341, 303 ; 
#566, 409, 347 ; 
#567, 486, 403 ; 
#568, 561, 457 ; 
#569, 622, 501 ; 
#570, 660, 532 ; 
#571, 670, 542 ; 
#572, 649, 528 ; 
#573, 605, 491 ; 
#574, 541, 439 ; 
#575, 468, 382 ; 
#576, 395, 327 ; 
#577, 337, 282 ; 
#578, 299, 255 ; 
#579, 289, 247 ; 
#580, 308, 258 ; 
#581, 355, 288 ; 
#582, 422, 333 ; 
#583, 502, 383 ; 
#584, 582, 436 ; 
#585, 654, 479 ; 
#586, 704, 505 ; 
#587, 725, 509 ; 
#588, 717, 490 ; 
#589, 680, 453 ; 
#590, 619, 405 ; 
#591, 543, 353 ; 
#592, 466, 306 ; 
#593, 400, 263 ; 
#594, 353, 237 ; 
#595, 333, 231 ; 
#596, 342, 245 ; 
#597, 380, 275 ; 
#598, 442, 318 ; 
#599, 524, 365 ; 
#600, 611, 411 ; 
#601, 690, 447 ; 
#602, 751, 468 ; 
#603, 783, 469 ; 
#604, 784, 448 ; 
#605, 755, 411 ; 
#606, 697, 363 ; 
#607, 620, 310 ; 
#608, 535, 261 ; 
#609, 456, 223 ; 
#610, 394, 201 ; 
#611, 359, 199 ; 
#612, 355, 216 ; 
#613, 383, 250 ; 
#614, 440, 297 ; 
#615, 518, 349 ; 
#616, 606, 401 ; 
#617, 690, 444 ; 
#618, 760, 469 ; 
#619, 805, 473 ; 
#620, 818, 455 ; 
#621, 795, 420 ; 
#622, 740, 371 ; 
#623, 660, 316 ; 
#624, 568, 266 ; 
#625, 479, 225 ; 
#626, 405, 203 ; 
#627, 354, 199 ; 
#628, 331, 215 ; 
#629, 338, 250 ; 
#630, 378, 296 ; 
#631, 444, 350 ; 
#632, 525, 406 ; 
#633, 608, 452 ; 
#634, 681, 480 ; 
#635, 731, 483 ; 
#636, 753, 467 ; 
#637, 746, 434 ; 
